EXECUTION_IDENTIFIER;FAULT_LOCALIZATION;FL_METRIC;OUTPUT_STATUS;NR_FAILLING_COMPILATIONS;NR_GENERATIONS;TOTAL_TIME;0/VARIANT_ID;0/VALIDATION;0/patchhunks/0/LINE;0/patchhunks/0/SUSPICIOUNESS;0/patchhunks/0/MP_RANKING;NR_RIGHT_COMPILATIONS
Math 81;flacoco;tarantula;STOP_BY_PATCH_FOUND;51;192;260.828;384;|true|0|2103|[]|;1445;0,993;249;141
Math 82;flacoco;barinel;STOP_BY_PATCH_FOUND;57;97;55.613;194;|true|0|2059|[]|;63;0,071;36;40
Math 82 ;flacoco;dstar;STOP_BY_PATCH_FOUND;778;1940;571.314;3880;|true|0|2059|[]|;63;0,053;140;1162
Math 82;flacoco;jaccard;STOP_BY_PATCH_FOUND;57;97;55.942;194;|true|0|2059|[]|;63;0,071;36;40
Math 82;flacoco;ochiai;STOP_BY_PATCH_FOUND;315;585;213.769;1170;|true|0|2059|[]|;63;0,267;36;270
Math 82 ;flacoco;op2;STOP_BY_PATCH_FOUND;55;99;57.864;198;|true|0|2059|[]|;63;0,994;36;44
Math 82;flacoco;tarantula;STOP_BY_PATCH_FOUND;3;6;18.083;12;|true|0|2059|[]|;63;0,994;36;3
Math 84;flacoco;barinel;STOP_BY_PATCH_FOUND;10;24;32.609;48;|true|0|2057|[]|;90;0,5;8;14
Math 84;flacoco;dstar;STOP_BY_PATCH_FOUND;447;1044;547.972;2088;|true|0|2057|[]|;90;0,5;28;597
Math 84;flacoco;jaccard;STOP_BY_PATCH_FOUND;330;657;597.259;1314;|true|0|2057|[]|;90;0,5;8;327
Math 84;flacoco;ochiai;TIME_OUT;657;1428;3602.559;;;;;;771
Math 84;flacoco;op2;TIME_OUT;536;1124;3618.566;;;;;;588
Math 84;flacoco;tarantula;TIME_OUT;887;1836;3601.846;;;;;;949
Math 85;flacoco;barinel;STOP_BY_PATCH_FOUND;16;29;22.298;58;|true|0|1986|[]|;199;1;3;13
Math 85;flacoco;dstar;STOP_BY_PATCH_FOUND;1;3;14.092;6;|true|0|1986|[]|;199;0,167;88;2
Math 85;flacoco;jaccard;STOP_BY_PATCH_FOUND;16;29;22.017;58;|true|0|1986|[]|;199;1;3;13
Math 85;flacoco;ochiai;STOP_BY_PATCH_FOUND;4;10;17.768;20;|true|0|1986|[]|;199;1;3;6
Math 85;flacoco;op2;STOP_BY_PATCH_FOUND;64;119;64.126;238;|true|0|1986|[]|;198;0,992;45;55
Math 85;flacoco;tarantula;STOP_BY_PATCH_FOUND;60;119;94.853;238;|true|0|1986|[]|;198;0,992;45;59
Math 95;flacoco;barinel;STOP_BY_PATCH_FOUND;3;10;52.374;20;|true|0|1303|[]|;148;0,333;6;7
Math 95;flacoco;dstar;STOP_BY_PATCH_FOUND;45;114;58.579;228;|true|0|1303|[]|;148;0,167;73;69
Math 95;flacoco;jaccard;STOP_BY_PATCH_FOUND;3;10;52.352;20;|true|0|1303|[]|;148;0,333;6;7
Math 95;flacoco;ochiai;STOP_BY_PATCH_FOUND;36;100;101.846;200;|true|0|1303|[]|;147;0,258;70;64
Math 95;flacoco;op2;STOP_BY_PATCH_FOUND;20;41;72.457;82;|true|0|1303|[]|;147;0,998;5;21
Math 95;flacoco;tarantula;STOP_BY_PATCH_FOUND;20;41;72.646;82;|true|0|1303|[]|;147;0,998;5;21
